Wavelength(nm),Intensity
195.12919999999994,0.0
195.39600000000007,0.0
195.66289999999992,0.0
195.92979999999994,0.0
196.19660000000007,0.0
196.46349999999995,0.0
196.73030000000006,0.0
196.9971999999999,0.0
197.26400000000007,0.0
197.5308,0.0
197.79770000000005,0.0
198.06449999999998,0.0
198.33129999999994,0.0
198.59810000000004,0.0
198.8649,0.0
199.13160000000005,0.0
199.3984,0.0
199.66519999999994,0.0
199.9319999999999,0.0
200.19869999999995,0.0
200.4654999999999,0.0
200.73219999999995,0.0
200.99890000000002,0.0
201.26569999999995,0.0
201.53240000000002,0.0
201.79910000000007,0.0
202.06579999999994,0.0
202.3325,0.0
202.59920000000005,0.0
202.86589999999993,0.0
203.13259999999994,0.0
203.39919999999995,0.0
203.6659,0.0
203.93249999999995,0.0
204.1992,0.0
204.46579999999997,0.0
204.73250000000004,0.0
204.9991,0.0
205.26569999999995,0.0
205.53229999999994,0.0
205.79889999999992,0.0
206.06550000000007,0.0
206.33210000000005,0.0
206.5987,0.0
206.86529999999996,0.0
207.13189999999994,0.0
207.3984,0.0
207.665,0.0
207.93150000000006,0.0
208.19810000000004,0.0
208.46459999999988,0.0
208.7311,0.0
208.99769999999992,0.0
209.26420000000005,0.0
209.53069999999988,0.0
209.7972,0.0
210.06370000000007,0.0
210.3301999999999,0.0
210.59659999999994,0.0
210.8631,0.0
211.12960000000012,0.0
211.3960000000001,0.0
211.66249999999994,0.0
211.9288999999999,0.0
212.19540000000003,0.0
212.4618,0.0
212.7282,0.0
212.9946,0.0
213.261,0.0
213.52739999999997,0.0
213.79379999999995,0.0
214.06019999999992,0.0
214.32659999999996,0.0
214.59299999999993,0.0
214.85930000000005,0.0
215.12570000000002,0.0
215.3919999999999,0.0
215.65839999999992,0.0
215.9247,0.0
216.1909999999999,0.0
216.4574000000001,0.0
216.72369999999998,0.0
216.98999999999992,0.0
217.2563,0.0
217.5226000000001,0.0
217.78890000000004,0.0
218.0551,0.0
218.3213999999999,0.0
218.58769999999998,0.0
218.8539,0.0
219.12019999999995,0.0
219.38639999999998,0.0
219.65270000000007,0.0
219.9189000000001,0.0
220.18510000000003,0.0
220.45130000000006,0.0
220.7175000000001,0.0
220.9836999999999,0.0
221.24989999999988,0.0
221.5160999999999,0.0
221.78229999999994,0.0
222.04849999999993,0.0
222.31460000000004,0.0
222.58080000000007,0.0
222.84689999999998,0.0
223.1131,0.0
223.37919999999997,0.0
223.64530000000005,0.0
223.91150000000007,0.0
224.17760000000004,0.0
224.4436999999999,0.0
224.70980000000006,0.0
224.97589999999994,0.0
225.2420000000001,0.0
225.5079999999999,0.0
225.77410000000006,0.0
226.04019999999994,0.0
226.3062,0.0
226.5722999999999,0.0
226.83829999999992,0.0
227.10440000000008,0.0
227.37039999999988,0.0
227.63639999999998,0.0
227.9024,0.0
228.16839999999993,0.0
228.43440000000004,0.0
228.70040000000006,0.0
228.9663999999999,0.0
229.23239999999996,0.0
229.49840000000003,0.0
229.7642999999999,0.0
230.03029999999998,0.0
230.29619999999986,0.0
230.56219999999996,0.0
230.82810000000006,0.0
231.094,0.0
231.3599,0.0
231.6259,0.0
231.89179999999996,0.0
232.1577000000001,0.0
232.42360000000002,0.0
232.68940000000012,0.0
232.9553,0.0
233.2212,0.0
233.48709999999994,0.0
233.75290000000004,0.0
234.0187999999999,0.0
234.2846,0.0
234.55040000000002,0.0
234.81630000000004,0.0
235.0821,0.0
235.3479000000001,0.0
235.61369999999994,0.0
235.8795,0.0
236.14530000000005,0.0
236.41109999999992,0.0
236.67690000000002,0.0
236.94259999999997,0.0
237.20840000000007,0.0
237.4741,0.0
237.73989999999995,0.0
238.00560000000004,0.0
238.2714,0.0
238.53710000000004,0.0
238.80280000000002,0.0
239.06849999999997,0.0
239.33420000000015,0.0
239.59990000000008,0.0
239.86560000000003,0.0
240.1313,0.0
240.397,0.0
240.66260000000003,0.0
240.92829999999995,0.0
241.19400000000005,0.0
241.45960000000005,0.0
241.72519999999994,0.0
241.99089999999987,0.0
242.25650000000005,0.0
242.52210000000005,0.0
242.78769999999994,0.0
243.05329999999995,0.0
243.31890000000013,0.0
243.5845,0.0
243.85010000000003,0.0
244.1157,0.0
244.3811999999999,0.0
244.64680000000007,0.0
244.91240000000008,0.0
245.17790000000002,0.0
245.44340000000005,0.0
245.70899999999992,0.0
245.97449999999998,0.0
246.23999999999987,0.0
246.50550000000013,0.0
246.77100000000002,0.0
247.03650000000007,0.0
247.30200000000002,0.0
247.56750000000005,0.0
247.833,0.0
