Wavelength(nm),Intensity
195.1292,0.0
195.39600000000004,0.0
195.66289999999995,0.0
195.92979999999991,0.0
196.1966000000001,0.0
196.46349999999995,0.0
196.73030000000006,0.0
196.9971999999999,0.0
197.2640000000001,0.0
197.53080000000008,0.0
197.79770000000005,0.0
198.06450000000004,0.0
198.33129999999994,0.0
198.59810000000004,0.0
198.86489999999995,0.0
199.13160000000002,0.0
199.3984,0.0
199.6652,0.0
199.9319999999999,0.0
200.19869999999995,0.0
200.46549999999993,0.0
200.7322,0.0
200.99889999999996,0.0
201.26569999999995,0.0
201.53240000000002,0.0
201.79910000000007,0.0
202.0658,0.0
202.33250000000007,0.0
202.5992,0.0
202.8658999999999,0.0
203.13259999999994,0.0
203.39919999999995,0.0
203.6659,0.0
203.93249999999992,0.0
204.1992,0.0
204.46579999999997,0.0
204.73250000000004,0.0
204.9991,0.0
205.26569999999995,0.0
205.53229999999994,0.0
205.7988999999999,0.0
206.06550000000001,0.0
206.33209999999997,0.0
206.5987000000001,0.0
206.86530000000005,0.0
207.1319,0.0
207.3984,0.0
207.665,0.0
207.9315,0.0
208.19809999999995,0.0
208.46459999999993,0.0
208.7311,0.0
208.99769999999992,0.0
209.26419999999996,0.0
209.53069999999994,0.0
209.7972,0.0
210.0637,0.0
210.3302,0.0
210.59659999999994,0.0
210.86309999999992,0.0
211.12960000000012,0.0
211.39600000000004,0.0
211.66250000000002,0.0
211.9288999999999,0.0
212.19539999999995,0.0
212.4618,0.0
212.7281999999999,0.0
212.9946,0.0
213.26100000000008,0.0
213.52739999999997,0.0
213.79380000000003,0.0
214.06019999999992,0.0
214.3266,0.0
214.59299999999993,0.0
214.85930000000005,0.0
215.12569999999994,0.0
215.3919999999999,0.0
215.6584,0.0
215.92469999999992,0.0
216.1909999999999,0.0
216.45740000000012,0.0
216.7237000000001,0.0
216.9899999999999,0.0
217.2563,0.0
217.52260000000012,0.0
217.78889999999993,0.0
218.05509999999992,0.0
218.3213999999999,0.0
218.5877,0.0
218.85390000000004,0.0
219.12020000000004,0.0
219.38640000000007,0.0
219.65269999999998,0.0
219.9189,0.0
220.18509999999995,0.0
220.45129999999997,0.0
220.7175,0.0
220.98369999999989,0.0
221.24989999999988,0.0
221.5160999999999,0.0
221.78229999999994,0.0
222.0484999999999,0.0
222.31459999999996,0.0
222.58079999999998,0.0
222.8469000000001,0.0
223.11309999999992,0.0
223.37920000000005,0.0
223.64530000000005,0.0
223.91150000000007,0.0
224.1776,0.0
224.4436999999999,0.0
224.70979999999997,0.0
224.97590000000002,0.0
225.2420000000001,0.0
225.5079999999999,0.0
225.77409999999998,0.0
226.04020000000003,0.0
226.3062,0.0
226.5722999999999,0.0
226.8383,0.0
227.10440000000008,0.0
227.37039999999988,0.0
227.63640000000007,0.0
227.90239999999997,0.0
228.16839999999988,0.0
228.43440000000007,0.0
228.70039999999997,0.0
228.9664,0.0
229.23239999999996,0.0
229.4984000000001,0.0
229.7642999999999,0.0
230.03030000000004,0.0
230.29619999999986,0.0
230.56220000000005,0.0
230.82809999999998,0.0
231.09400000000002,0.0
231.35990000000007,0.0
231.6259,0.0
231.89180000000002,0.0
232.1577,0.0
232.42360000000005,0.0
232.68940000000012,0.0
232.95529999999994,0.0
233.22119999999998,0.0
233.48710000000003,0.0
233.7529000000001,0.0
234.0187999999999,0.0
234.28459999999998,0.0
234.55040000000005,0.0
234.8163000000001,0.0
235.08209999999994,0.0
235.3479,0.0
235.6136999999999,0.0
235.8795,0.0
236.14530000000005,0.0
236.4111,0.0
236.67690000000007,0.0
236.94260000000006,0.0
237.20840000000013,0.0
237.47410000000005,0.0
237.7398999999999,0.0
238.0056000000001,0.0
238.27139999999994,0.0
238.53709999999992,0.0
238.80280000000008,0.0
239.06850000000006,0.0
239.33420000000015,0.0
239.59990000000008,0.0
239.86560000000006,0.0
240.1313,0.0
240.39699999999996,0.0
240.66259999999997,0.0
240.9282999999999,0.0
241.1940000000001,0.0
241.45960000000005,0.0
241.72519999999994,0.0
241.99089999999987,0.0
242.2565000000001,0.0
242.52210000000005,0.0
242.78769999999994,0.0
243.0532999999999,0.0
243.31890000000013,0.0
243.58449999999996,0.0
243.85009999999997,0.0
244.11570000000006,0.0
244.3811999999999,0.0
244.64680000000013,0.0
244.91240000000008,0.0
245.17789999999994,0.0
245.44340000000008,0.0
245.70899999999992,0.0
245.97450000000003,0.0
246.23999999999987,0.0
246.50550000000013,0.0
246.77099999999996,0.0
247.03650000000007,0.0
247.30199999999994,0.0
247.56750000000008,0.0
247.83299999999994,0.0
248.09839999999994,0.0
248.36390000000006,0.0
248.6293999999999,0.0
248.8948,0.0
249.16020000000003,0.0
249.42569999999986,0.0
249.6911,0.0
249.95650000000015,0.0
250.22190000000015,9.178979125000003
250.48729999999986,9.07037229166667
250.7527,8.676475125000003
251.01810000000015,8.743186249999999
251.28349999999986,9.030299874999999
251.54889999999986,8.999333791666666
251.8141999999999,8.93307816666667
252.0796,9.251384416666665
252.34490000000002,9.658942916666666
252.61030000000005,9.49773941666667
252.87560000000005,9.235673000000002
253.14090000000002,8.725198791666667
253.40629999999996,8.607030875000001
253.67159999999998,9.366820166666665
253.93689999999995,9.420326958333332
254.20219999999995,9.9059825
254.46749999999997,9.652566166666666
254.73279999999986,9.813086333333331
254.9979999999999,9.895053583333336
255.26329999999993,9.578796208333335
255.52859999999995,9.188769333333331
255.79380000000006,9.21472625
256.0591000000001,9.809443
256.32430000000016,10.070144916666663
256.5896000000002,10.038951416666668
256.8548,10.249107124999998
257.11999999999995,10.287812666666666
257.38519999999994,10.362265708333334
257.65040000000016,10.520736999999999
257.91560000000004,10.474062541666669
258.18080000000003,10.571967458333331
258.44599999999997,10.646191041666667
258.71119999999996,10.618414291666667
258.97630000000004,10.503887958333332
259.24150000000003,10.35452525
259.50669999999997,10.39869754166667
259.77180000000016,10.421237708333337
260.0369,10.636629000000001
260.30209999999994,10.691501541666666
260.5672000000001,10.893231958333336
260.8323,10.961993041666668
261.09739999999994,10.697194583333335
261.3625000000001,10.503886541666668
261.62759999999986,10.521646499999997
261.89270000000005,10.577205166666666
262.1578,10.495918625000003
262.42289999999986,10.462448125000002
262.68800000000005,10.941957291666666
262.9529999999998,11.264589999999998
263.2181,11.011630000000002
263.4831000000001,10.73886175
263.7482,10.81490725
264.01320000000004,11.162584708333334
264.27819999999997,11.213815083333335
264.5432,11.076748166666663
264.8082000000001,11.412812416666666
265.0731999999999,11.314224000000001
265.3382000000001,11.21313095833333
265.60319999999984,10.971784791666666
265.86819999999994,11.118870916666665
266.13320000000016,11.254342541666665
266.39810000000006,11.209717833333334
266.6630999999998,11.086994166666665
266.92810000000003,11.244781333333334
267.19300000000015,10.994098791666671
267.45790000000005,10.551018374999998
267.7228999999998,10.842231791666668
267.98779999999994,10.937859291666667
268.2527,10.74478091666667
268.5176000000001,10.082894583333337
268.7825000000002,9.985216625000001
269.0474000000001,10.167595583333332
269.3122999999999,10.064908041666666
269.57719999999995,9.950382333333332
269.8419999999999,9.502977958333334
270.1068999999998,9.387084791666664
270.37179999999995,9.250700666666667
270.6365999999999,9.301929666666668
270.90139999999997,9.155755124999999
271.1662999999999,9.046237875000003
271.43109999999984,9.12091920833333
271.69589999999994,9.303068749999998
271.9606999999999,9.183988666666664
272.2255000000002,8.780072291666668
272.4903000000001,8.555346041666668
272.7551000000001,8.74774
273.0199000000002,8.713587166666665
273.2847000000001,8.847240708333334
273.5495,8.7664115
273.81419999999986,8.687631875000001
274.07899999999995,8.997740249999998
274.34370000000007,8.798515291666666
274.60850000000005,8.733852083333334
274.8732,8.749791
275.13789999999995,8.739315958333336
275.40260000000006,8.855891500000002
275.66740000000004,8.615455208333335
275.9321,8.56672929166667
276.19679999999994,8.191047208333336
276.4614000000001,8.200836625000003
276.7260999999999,8.248425041666664
276.99079999999987,8.09245775
277.25550000000015,8.165090166666666
277.52009999999996,8.174880499999999
277.7848000000001,8.265954500000001
278.04939999999993,8.366138208333334
278.3140999999999,8.478615083333333
278.5787,8.578113499999999
278.84330000000017,8.272102791666667
279.1079,7.901657416666669
279.3725000000001,7.5369034999999975
279.6371,7.621146208333332
279.90170000000006,7.214498249999999
280.1662999999999,6.783259875
280.43090000000007,6.59974425
280.69549999999987,6.531893666666669
280.96,6.246829666666667
281.22459999999984,6.496374583333334
281.48909999999984,6.462221541666669
281.75370000000015,6.554662291666669
282.01820000000015,6.499789833333335
282.2826999999998,6.341547625
282.5473000000001,6.282349083333332
282.8118000000001,6.114771708333332
283.07629999999995,5.987494666666667
283.3408,5.789179708333333
283.6053000000001,5.9508370416666665
283.86970000000014,5.678068541666668
284.13420000000013,5.328569416666668
284.39869999999996,5.329480208333334
284.6632,5.634808083333334
284.9276,5.990454708333334
285.19210000000015,6.128205041666667
285.4565000000002,6.273013874999999
285.72090000000003,6.233168583333334
285.98530000000005,6.056256041666667
286.2497999999999,5.919188541666666
286.5141999999999,5.667822666666667
286.7785999999999,5.936948291666667
287.04299999999995,5.812403625000001
287.3073999999999,5.558988416666668
287.57170000000013,5.339725983333334
287.83610000000016,5.304889875
288.1005000000002,5.347012041666667
288.36480000000006,5.316274166666667
288.6292000000001,5.1505184083333315
288.8935000000001,5.390500125000002
289.1579000000001,5.442412708333333
289.4222,5.3927770000000015
289.68649999999985,5.669188791666667
289.9507999999999,5.730208666666666
290.21510000000006,5.592685833333334
290.4794000000001,5.692184958333335
290.7437,6.024152291666667
291.00799999999987,6.005937333333333
291.2722999999999,6.206984708333333
291.5366000000001,6.353159541666667
291.8008,6.622968291666666
292.06509999999986,6.707667916666668
292.32930000000005,6.908715208333333
292.5936000000001,6.863405541666665
292.8577999999998,6.679890083333334
293.1220000000001,6.612039416666669
293.38630000000006,6.354297958333333
293.6504999999999,6.488177750000002
293.9147000000001,6.542367125000002
294.17889999999994,6.452886541666666
294.4431000000002,6.409398291666668
294.7071999999999,6.652339999999999
294.97140000000013,6.592230583333332
295.2356,6.642549333333335
295.49970000000013,7.022103249999998
295.7639,6.934899000000001
