Wavelength(nm),Intensity
195.12919999999997,0.0
195.39600000000007,0.0
195.66289999999992,0.0
195.92979999999994,0.0
196.19660000000007,0.0
196.46349999999998,0.0
196.73030000000003,0.0
196.99719999999994,0.0
197.26400000000007,0.0
197.53080000000003,0.0
197.79770000000002,0.0
198.06449999999998,0.0
198.33129999999997,0.0
198.59810000000002,0.0
198.8649,0.0
199.13160000000005,0.0
199.39839999999998,0.0
199.66519999999994,0.0
199.93199999999993,0.0
200.19869999999997,0.0
200.4654999999999,0.0
200.73219999999995,0.0
200.99890000000002,0.0
201.26569999999998,0.0
201.5324,0.0
201.79910000000004,0.0
202.06579999999997,0.0
202.3325,0.0
202.59920000000005,0.0
202.86589999999993,0.0
203.13259999999997,0.0
203.39919999999998,0.0
203.66590000000002,0.0
203.93249999999995,0.0
204.19919999999996,0.0
204.4658,0.0
204.73250000000002,0.0
204.9991,0.0
205.26569999999998,0.0
205.53229999999994,0.0
205.79889999999992,0.0
206.06550000000004,0.0
206.33210000000003,0.0
206.59870000000004,0.0
206.8653,0.0
207.13189999999997,0.0
207.39839999999998,0.0
207.66500000000002,0.0
207.93150000000003,0.0
208.1981,0.0
208.4645999999999,0.0
208.73110000000003,0.0
208.99769999999995,0.0
209.26420000000002,0.0
209.5306999999999,0.0
209.79720000000003,0.0
210.06370000000004,0.0
210.33019999999993,0.0
210.59659999999994,0.0
210.86309999999997,0.0
211.12960000000012,0.0
211.39600000000007,0.0
211.66249999999997,0.0
211.92889999999994,0.0
212.1954,0.0
212.46179999999998,0.0
212.72819999999996,0.0
212.9946,0.0
213.26100000000002,0.0
213.5274,0.0
213.79379999999998,0.0
214.06019999999995,0.0
214.32659999999998,0.0
214.59299999999993,0.0
214.85930000000002,0.0
215.1257,0.0
215.3919999999999,0.0
215.65839999999994,0.0
215.92469999999997,0.0
216.1909999999999,0.0
216.4574000000001,0.0
216.72370000000004,0.0
216.98999999999992,0.0
217.2563,0.0
217.5226000000001,0.0
217.78889999999998,0.0
218.05509999999998,0.0
218.3213999999999,0.0
218.58769999999998,0.0
218.8539,0.0
219.12019999999998,0.0
219.3864,0.0
219.65270000000004,0.0
219.91890000000006,0.0
220.1851,0.0
220.45130000000003,0.0
220.71750000000006,0.0
220.9836999999999,0.0
221.24989999999988,0.0
221.5160999999999,0.0
221.78229999999994,0.0
222.04849999999993,0.0
222.3146,0.0
222.58080000000004,0.0
222.84690000000003,0.0
223.11309999999997,0.0
223.3792,0.0
223.64530000000005,0.0
223.91150000000007,0.0
224.17760000000004,0.0
224.4436999999999,0.0
224.70980000000003,0.0
224.97589999999997,0.0
225.2420000000001,0.0
225.5079999999999,0.0
225.77410000000003,0.0
226.04019999999997,0.0
226.3062,0.0
226.5722999999999,0.0
226.83829999999995,0.0
227.10440000000008,0.0
227.37039999999988,0.0
227.6364,0.0
227.9024,0.0
228.1683999999999,0.0
228.43440000000004,0.0
228.70040000000003,0.0
228.96639999999994,0.0
229.23239999999996,0.0
229.49840000000006,0.0
229.7642999999999,0.0
230.0303,0.0
230.29619999999986,0.0
230.5622,0.0
230.82810000000003,0.0
231.094,0.0
231.35990000000004,0.0
231.6259,0.0
231.8918,0.0
232.15770000000006,0.0
232.42360000000002,0.0
232.68940000000012,0.0
232.95529999999997,0.0
233.2212,0.0
233.48709999999997,0.0
233.75290000000007,0.0
234.0187999999999,0.0
234.2846,0.0
234.55040000000002,0.0
234.81630000000007,0.0
235.08209999999997,0.0
235.34790000000007,0.0
235.61369999999994,0.0
235.8795,0.0
236.14530000000005,0.0
236.41109999999995,0.0
236.67690000000005,0.0
236.9426,0.0
237.2084000000001,0.0
237.47410000000002,0.0
237.73989999999992,0.0
238.00560000000007,0.0
238.27139999999997,0.0
238.53709999999998,0.0
238.80280000000005,0.0
239.0685,0.0
239.33420000000015,0.0
239.59990000000008,0.0
239.86560000000003,0.0
240.1313,0.0
240.397,0.0
240.6626,0.0
240.92829999999992,0.0
241.19400000000007,0.0
241.45960000000005,0.0
241.72519999999994,0.0
241.99089999999987,0.0
242.25650000000007,0.0
242.52210000000005,0.0
242.78769999999994,0.0
243.05329999999992,0.0
243.31890000000013,0.0
243.5845,0.0
243.8501,0.0
244.11570000000003,0.0
244.3811999999999,0.0
244.6468000000001,0.0
244.91240000000008,0.0
245.1779,0.0
245.44340000000005,0.0
245.70899999999992,0.0
245.9745,0.0
246.23999999999987,0.0
246.50550000000013,0.0
246.771,0.0
247.03650000000007,0.0
247.302,0.0
247.56750000000005,0.0
247.83299999999997,0.0
248.09839999999994,0.0
248.36390000000003,0.0
248.6293999999999,0.0
248.89479999999998,0.0
249.1602,0.0
249.42569999999986,0.0
249.6911,0.0
249.95650000000015,0.0
250.22190000000012,6.650325333333334
250.48729999999986,6.664116476190475
250.7527,6.579547142857143
251.01810000000015,6.712776476190475
251.2834999999999,6.874629285714285
251.54889999999986,6.977933904761906
251.8141999999999,7.1111629999999995
252.07959999999997,7.464793095238096
252.3449,7.7616960952380945
252.61030000000002,7.834816095238095
252.8756,7.7900594285714275
253.1409,7.755451904761904
253.4063,7.884517428571428
253.6716,8.376321
253.9369,8.560551999999998
254.20219999999998,8.92875380952381
254.4675,9.01852780952381
254.73279999999986,9.287327714285714
254.99799999999993,9.469216523809525
255.26329999999996,9.491854619047619
255.52859999999998,9.529846428571428
255.79380000000003,9.736195047619047
256.0591000000001,10.20562057142857
256.3243000000001,10.439292238095241
256.58960000000013,10.631069666666665
256.8548,10.919905476190475
257.11999999999995,11.052095714285713
257.3852,11.239188857142858
257.6504000000001,11.399479047619048
257.9156,11.507467714285713
258.18080000000003,11.664897904761904
258.44599999999997,11.773146285714287
258.7112,11.831955095238095
258.9763,11.851991857142858
259.24150000000003,11.862398238095238
259.50669999999997,11.98834219047619
259.7718000000001,12.014883190476192
260.0369,12.164507666666669
260.30209999999994,12.129637714285714
260.5672000000001,12.227737714285714
260.8323,12.255061095238094
261.09739999999994,12.193130476190474
261.36250000000007,12.104916952380952
261.6275999999999,12.073953619047618
261.89270000000005,12.050533904761906
262.1578,12.026335238095239
262.4228999999999,11.962581428571431
262.68800000000005,12.202497904761904
262.95299999999986,12.27978061904762
263.2181,12.060942476190476
263.4831000000001,11.943325714285715
263.7482,11.957638095238094
264.01320000000004,12.039863904761905
264.2782,11.977933142857145
264.5432,11.825968571428572
264.8082000000001,11.878533476190475
265.07319999999993,11.725787190476192
265.33820000000003,11.579286285714286
265.6031999999999,11.361749523809523
265.86819999999994,11.406244999999998
266.1332000000001,11.366691666666666
266.39810000000006,11.266770809523809
266.6630999999999,11.155659333333332
266.92810000000003,11.150194857142857
267.1930000000001,10.877230999999998
267.45790000000005,10.603487476190477
267.72289999999987,10.639916095238096
267.98779999999994,10.51995861904762
268.2527,10.184283380952381
268.5176000000001,9.730990714285715
268.78250000000014,9.51579576190476
