Wavelength	Intensity
2.1723707458902632	647
2.1716985340159471	644
2.1710267396919574	662
2.1703553625308345	651
2.1696844021455957	682
2.1690138581497349	666
2.1683437301572273	653
2.1676740177825238	648
2.1670047206405516	661
2.1663358383467122	642
2.1656673705168847	670
2.1649993167674184	642
2.16433167671514	638
2.1636644499773463	664
2.1629976361718066	661
2.1623312349167616	657
2.1616652458309216	675
2.160999668533468	648
2.1603345026440506	641
2.1596697477827864	662
2.159005403570263	658
2.1583414696275312	645
2.1576779455761095	647
2.1570148310379822	658
2.1563521256355984	647
2.1556898289918691	643
2.155027940730172	654
2.154366460474344	640
2.1537053878486865	639
2.1530447224779588	640
2.1523844639873859	633
2.1517246120026465	628
2.1510651661498827	627
2.1504061260556924	646
2.1497474913471319	641
2.1490892616517154	650
2.1484314365974124	659
2.1477740158126468	659
2.1471169989263	644
2.1464603855677038	652
2.1458041753666484	637
2.1451483679533716	651
2.1444929629585667	639
2.1438379600133772	639
2.143183358749396	646
2.142529158798669	655
2.1418753597936893	667
2.1412219613673975	628
2.1405689631531852	646
2.1399163647848893	659
2.1392641658967921	643
2.1386123661236245	655
2.1379609651005609	624
2.1373099624632208	650
2.1366593578476665	632
2.1360091508904056	645
2.1353593412283858	660
2.1347099284989981	634
2.1340609123400736	665
2.1334122923898851	647
2.1327640682871443	654
2.1321162396710029	634
2.1314688061810494	632
2.130821767457312	648
2.1301751231402544	661
2.1295288728707784	628
2.12888301629022	651
2.1282375530403521	647
2.1275924827633803	646
2.126947805101945	653
2.12630351969912	647
2.12565962619841	642
2.125016124243754	640
2.1243730134795209	630
2.12373029355051	650
2.12308796410195	645
2.1224460247795007	633
2.1218044752292493	654
2.1211633150977103	659
2.1205225440318256	647
2.1198821616789663	662
2.1192421676869282	652
2.1186025617039288	655
2.1179633433786158	652
2.1173245123600579	654
2.116686068297748	660
2.1160480108416024	658
2.1154103396419579	648
2.1147730543495751	664
2.1141361546156325	655
2.1134996400917325	648
2.1128635104298952	646
2.1122277652825594	636
2.1115924043025824	671
2.1109574271432407	650
2.1103228334582247	657
2.1096886229016452	664
2.109054795128027	659
2.1084213497923092	640
2.1077882865498472	661
2.10715560505641	643
2.1065233049681784	656
2.105891385941749	664
2.1052598476341275	672
2.1046286897027331	659
2.1039979118053935	656
2.1033675136003511	667
2.1027374947462536	654
2.1021078549021581	670
2.1014785937275358	656
2.1008497108822559	645
2.1002212060266041	694
2.0995930788212673	673
2.0989653289273407	649
2.0983379560063238	671
2.0977109597201218	661
2.097084339731043	658
2.0964580957017995	643
2.0958322272955079	679
2.0952067341756848	672
2.0945816160062511	651
2.0939568724515261	659
2.0933325031762329	668
2.0927085078454915	672
2.0920848861248222	678
2.0914616376801449	675
2.0908387621777789	666
2.0902162592844373	671
2.0895941286672337	677
2.0889723699936757	663
2.08835098293167	698
2.0877299671495138	683
2.0871093223159032	683
2.0864890480999265	679
2.0858691441710655	659
2.0852496101991944	663
2.084630445854581	674
2.0840116508078856	685
2.0833932247301559	666
2.0827751672928341	671
2.0821574781677503	701
2.0815401570271246	720
2.0809232035435654	731
2.0803066173900708	701
2.0796903982400257	673
2.0790745457672006	682
2.0784590596457551	705
2.0778439395502342	718
2.0772291851555655	745
2.0766147961370658	725
2.076000772170433	731
2.0753871129317503	676
2.0747738180974822	678
2.0741608873444775	648
2.0735483203499667	616
2.0729361167915612	614
2.0723242763472536	627
2.0717127986954162	626
2.0711016835148026	629
2.0704909304845422	621
2.0698805392841479	630
2.0692705095935069	621
2.0686608410928851	621
2.0680515334629241	626
2.0674425863846451	626
2.0668339995394414	643
2.0662257726090849	627
2.0656179052757193	634
2.0650103972218643	636
2.0644032481304126	627
2.0637964576846293	628
2.0631900255681539	630
2.0625839514649957	635
2.0619782350595379	643
2.0613728760365317	648
2.0607678740811015	650
2.0601632288787384	650
2.0595589401153065	647
2.0589550074770342	641
2.0583514306505228	656
2.0577482093227375	656
2.0571453431810123	661
2.0565428319130472	663
2.0559406752069092	698
2.0553388727510291	664
2.0547374242342036	693
2.0541363293455945	669
2.0535355877747268	669
2.0529351992114875	665
2.0523351633461289	682
2.0517354798692642	706
2.0511361484718691	695
2.0505371688452794	700
2.049938540681191	704
2.0493402636716631	708
2.0487423375091121	720
2.0481447618863142	726
2.0475475364964035	707
2.0469506610328723	714
2.0463541351895711	738
2.0457579586607082	722
2.0451621311408461	736
2.0445666523249062	737
2.0439715219081616	767
2.0433767395862446	758
2.0427823050551388	761
2.0421882180111828	766
2.041594478151068	786
2.0410010851718408	794
2.0404080387708983	757
2.0398153386459872	814
2.0392229844952112	814
2.03863097601702	823
2.0380393129102159	837
2.0374479948739497	840
2.0368570216077226	880
2.0362663928113842	879
2.0356761081851324	874
2.035086167429514	884
2.03449657024542	928
2.0339073163340911	892
2.0333184053971141	956
2.0327298371364209	961
2.0321416112542883	981
2.0315537274533373	937
2.0309661854365371	997
2.0303789849071952	1011
2.029792125568965	1065
2.0292056071258449	1029
2.028619429282172	1068
2.0280335917426262	1083
2.0274480942122297	1075
2.0268629363963444	1134
2.0262781180006733	1208
2.0256936387312603	1138
2.0251094982944857	1194
2.0245256963970713	1269
2.0239422327460761	1255
2.023359107048897	1306
2.0227763190132686	1307
2.0221938683472622	1378
2.0216117547592858	1334
2.0210299779580834	1399
2.0204485376527339	1366
2.0198674335526507	1472
2.0192866653675847	1538
2.0187062328076157	1507
2.0181261355831621	1620
2.0175463734049739	1574
2.01696694598413	1649
2.0163878530320467	1694
2.0158090942604687	1768
2.0152306693814728	1868
2.0146525781074667	1874
2.0140748201511873	1982
2.0134973952257029	1928
2.0129203030444089	2105
2.0123435433210317	2058
2.0117671157696231	2185
2.0111910201045675	2229
2.010615256040571	2233
2.0100398232926704	2295
2.009464721576228	2437
2.0088899506069313	2456
2.0083155101007941	2439
2.0077413997741553	2557
2.0071676193436776	2606
2.0065941685263491	2564
2.006021047039479	2625
2.0054482546007031	2812
2.0048757909279766	2896
2.00430365573958	2920
