Wavelength	Intensity
2.1723707458902632	868
2.1716985340159471	878
2.1710267396919574	885
2.1703553625308345	872
2.1696844021455957	910
2.1690138581497349	886
2.1683437301572273	888
2.1676740177825238	858
2.1670047206405516	934
2.1663358383467122	881
2.1656673705168847	897
2.1649993167674184	869
2.16433167671514	856
2.1636644499773463	898
2.1629976361718066	911
2.1623312349167616	909
2.1616652458309216	896
2.160999668533468	888
2.1603345026440506	875
2.1596697477827864	883
2.159005403570263	893
2.1583414696275312	892
2.1576779455761095	894
2.1570148310379822	899
2.1563521256355984	873
2.1556898289918691	907
2.155027940730172	899
2.154366460474344	884
2.1537053878486865	871
2.1530447224779588	879
2.1523844639873859	897
2.1517246120026465	876
2.1510651661498827	897
2.1504061260556924	883
2.1497474913471319	894
2.1490892616517154	868
2.1484314365974124	919
2.1477740158126468	887
2.1471169989263	906
2.1464603855677038	899
2.1458041753666484	871
2.1451483679533716	892
2.1444929629585667	877
2.1438379600133772	859
2.143183358749396	850
2.142529158798669	898
2.1418753597936893	909
2.1412219613673975	944
2.1405689631531852	869
2.1399163647848893	891
2.1392641658967921	903
2.1386123661236245	913
2.1379609651005609	857
2.1373099624632208	884
2.1366593578476665	909
2.1360091508904056	898
2.1353593412283858	917
2.1347099284989981	853
2.1340609123400736	897
2.1334122923898851	931
2.1327640682871443	887
2.1321162396710029	903
2.1314688061810494	887
2.130821767457312	884
2.1301751231402544	913
2.1295288728707784	924
2.12888301629022	907
2.1282375530403521	896
2.1275924827633803	925
2.126947805101945	924
2.12630351969912	873
2.12565962619841	906
2.125016124243754	919
2.1243730134795209	880
2.12373029355051	892
2.12308796410195	922
2.1224460247795007	913
2.1218044752292493	860
2.1211633150977103	895
2.1205225440318256	897
2.1198821616789663	924
2.1192421676869282	925
2.1186025617039288	914
2.1179633433786158	926
2.1173245123600579	934
2.116686068297748	972
2.1160480108416024	894
2.1154103396419579	932
2.1147730543495751	902
2.1141361546156325	923
2.1134996400917325	896
2.1128635104298952	900
2.1122277652825594	937
2.1115924043025824	948
2.1109574271432407	957
2.1103228334582247	913
2.1096886229016452	902
2.109054795128027	946
2.1084213497923092	948
2.1077882865498472	922
2.10715560505641	940
2.1065233049681784	912
2.105891385941749	935
2.1052598476341275	932
2.1046286897027331	921
2.1039979118053935	977
2.1033675136003511	947
2.1027374947462536	921
2.1021078549021581	973
2.1014785937275358	933
2.1008497108822559	958
2.1002212060266041	978
2.0995930788212673	978
2.0989653289273407	936
2.0983379560063238	973
2.0977109597201218	973
2.097084339731043	981
2.0964580957017995	988
2.0958322272955079	969
2.0952067341756848	961
2.0945816160062511	1000
2.0939568724515261	954
2.0933325031762329	998
2.0927085078454915	981
2.0920848861248222	1008
2.0914616376801449	992
2.0908387621777789	1010
2.0902162592844373	1009
2.0895941286672337	1002
2.0889723699936757	983
2.08835098293167	1055
2.0877299671495138	979
2.0871093223159032	996
2.0864890480999265	1040
2.0858691441710655	1044
2.0852496101991944	1003
2.084630445854581	1020
2.0840116508078856	1057
2.0833932247301559	1113
2.0827751672928341	995
2.0821574781677503	1073
2.0815401570271246	1098
2.0809232035435654	1126
2.0803066173900708	1016
2.0796903982400257	1040
2.0790745457672006	1054
2.0784590596457551	1152
2.0778439395502342	1137
2.0772291851555655	1167
2.0766147961370658	1138
2.076000772170433	1125
2.0753871129317503	1077
2.0747738180974822	1044
2.0741608873444775	1027
2.0735483203499667	970
2.0729361167915612	961
2.0723242763472536	957
2.0717127986954162	938
2.0711016835148026	987
2.0704909304845422	941
2.0698805392841479	981
2.0692705095935069	1025
2.0686608410928851	986
2.0680515334629241	1014
2.0674425863846451	984
2.0668339995394414	1050
2.0662257726090849	991
2.0656179052757193	1004
2.0650103972218643	1044
2.0644032481304126	1041
2.0637964576846293	1059
2.0631900255681539	1028
2.0625839514649957	1039
2.0619782350595379	1056
2.0613728760365317	1106
2.0607678740811015	1076
2.0601632288787384	1089
2.0595589401153065	1162
2.0589550074770342	1170
2.0583514306505228	1114
2.0577482093227375	1172
2.0571453431810123	1209
2.0565428319130472	1194
2.0559406752069092	1222
2.0553388727510291	1237
2.0547374242342036	1286
2.0541363293455945	1280
2.0535355877747268	1257
2.0529351992114875	1312
2.0523351633461289	1292
2.0517354798692642	1357
2.0511361484718691	1358
2.0505371688452794	1411
2.049938540681191	1364
2.0493402636716631	1360
2.0487423375091121	1426
2.0481447618863142	1445
2.0475475364964035	1466
2.0469506610328723	1497
2.0463541351895711	1540
2.0457579586607082	1567
2.0451621311408461	1656
2.0445666523249062	1679
2.0439715219081616	1619
2.0433767395862446	1766
2.0427823050551388	1724
2.0421882180111828	1784
2.041594478151068	1793
2.0410010851718408	1863
2.0404080387708983	1962
2.0398153386459872	1967
2.0392229844952112	2035
2.03863097601702	2073
2.0380393129102159	2125
2.0374479948739497	2203
2.0368570216077226	2248
2.0362663928113842	2312
2.0356761081851324	2361
2.035086167429514	2432
2.03449657024542	2510
2.0339073163340911	2556
2.0333184053971141	2631
2.0327298371364209	2734
2.0321416112542883	2746
2.0315537274533373	2879
2.0309661854365371	2914
2.0303789849071952	3037
2.029792125568965	3021
2.0292056071258449	3154
2.028619429282172	3408
2.0280335917426262	3419
2.0274480942122297	3613
2.0268629363963444	3661
2.0262781180006733	3721
2.0256936387312603	3839
2.0251094982944857	4084
2.0245256963970713	4071
2.0239422327460761	4299
2.023359107048897	4502
2.0227763190132686	4552
2.0221938683472622	4834
2.0216117547592858	4963
2.0210299779580834	5054
2.0204485376527339	5234
2.0198674335526507	5539
2.0192866653675847	5768
2.0187062328076157	5820
2.0181261355831621	6137
2.0175463734049739	6387
2.01696694598413	6492
2.0163878530320467	6801
2.0158090942604687	7059
2.0152306693814728	7238
2.0146525781074667	7526
2.0140748201511873	7815
2.0134973952257029	8097
2.0129203030444089	8371
2.0123435433210317	8482
2.0117671157696231	8907
2.0111910201045675	9012
2.010615256040571	9494
2.0100398232926704	9701
2.009464721576228	9941
2.0088899506069313	10292
2.0083155101007941	10725
2.0077413997741553	10946
2.0071676193436776	11269
2.0065941685263491	11682
2.006021047039479	11983
2.0054482546007031	12223
2.0048757909279766	12640
2.00430365573958	12778
2.0037318487541129	13196
2.0031603696904985	13539
2.0025892182679788	13823
2.0020183942061176	14187
2.0014478972247987	14439
2.0008777270442244	14651
2.0003078833849166	14955
1.9997383659677157	15305
1.9991691745137807	15474
1.998600308744588	16055
1.9980317683819311	16344
1.9974635531479195	16491
1.9968956627649805	16678
1.9963280969558568	16706
1.9957608554436066	17304
1.9951939379516015	17408
1.9946273442035298	17402
1.9940610739233933	17590
1.9934951268355066	17608
1.9929295026644989	17830
1.9923642011353104	18059
1.9917992219731953	17986
1.9912345649037189	18159
1.9906702296527568	18291
1.9901062159464975	18529
1.9895425235114392	18389
1.9889791520743909	18312
1.9884161013624695	18965
1.9878533711031023	18716
1.987290961024025	18718
1.9867288708532835	18604
1.9861671003192285	18826
1.9856056491505198	18695
1.9850445170761257	18636
1.9844837038253171	18579
1.9839232091276757	18801
1.9833630327130858	18644
1.9828031743117378	18631
1.9822436336541274	18712
1.9816844104710545	18402
1.9811255044936229	18273
1.9805669154532395	18485
1.9800086430816162	18021
1.9794506871107658	18357
1.9788930472730031	18102
1.9783357233009466	18210
1.977778714927515	17880
1.9772220218859289	18174
1.9766656439097077	17878
1.9761095807326734	17874
1.9755538320889454	18024
1.9749983977129437	17577
1.9744432773393881	17343
1.9738884707032955	17610
1.9733339775399803	17358
1.9727797975850574	17252
1.9722259305744354	17183
1.9716723762443213	17277
1.9711191343312198	16740
1.9705662045719294	16692
1.9700135867035455	16422
1.9694612804634584	16671
1.9689092855893515	16123
1.9683576018192066	16422
1.9678062288912954	16260
1.9672551665441831	16076
1.9667044145167325	16031
1.9661539725480945	15889
1.9656038403777127	15799
1.9650540177453255	15577
1.9645045043909604	15473
1.9639553000549359	15421
1.9634064044778621	15312
1.9628578174006386	15075
1.9623095385644553	14911
1.9617615677107909	14915
1.9612139045814148	14615
1.9606665489183825	14551
1.9601195004640397	14569
1.9595727589610192	14154
1.9590263241522416	14245
1.9584801957809117	14309
1.9579343735905261	14021
1.9573888573248646	13582
1.9568436467279913	13607
1.9562987415442592	13651
1.9557541415183028	13305
1.9552098463950447	13458
1.9546658559196888	13104
1.954122169837724	12910
1.9535787878949225	12923
1.953035709837341	12769
1.9524929354113161	12935
1.9519504643634678	12895
1.9514082964406989	12339
1.9508664313901933	12222
1.9503248689594146	12248
1.9497836088961085	12114
1.9492426509483	12272
1.9487019948642956	12052
1.9481616403926794	11658
1.9476215872823164	11507
1.9470818352823478	11447
1.9465423841421965	11429
1.9460032336115605	11181
1.9454643834404164	11200
1.9449258333790187	11149
1.9443875831778978	10665
1.9438496325878614	10777
1.9433119813599913	10616
1.9427746292456471	10411
1.9422375759964634	10300
1.9417008213643483	10350
1.9411643651014865	10004
1.940628206960334	10109
1.9400923466936228	9823
1.9395567840543586	9866
1.9390215187958177	9680
1.9384865506715523	9547
1.9379518794353834	9602
1.9374175048414055	9334
1.9368834266439861	9259
1.9363496445977608	9097
1.9358161584576379	9236
1.9352829679787975	9201
1.9347500729166844	9085
1.9342174730270192	8874
1.9336851680657874	9066
1.9331531577892471	8720
1.9326214419539209	8534
1.9320900203166027	8300
1.9315588926343519	8306
1.931028058664497	8247
1.9304975181646331	8092
1.9299672708926217	8145
1.9294373166065903	7895
1.9289076550649333	7892
1.9283782860263101	7834
1.9278492092496455	7833
1.9273204244941278	7780
1.9267919315192121	7578
1.9262637300846173	7455
1.9257358199503234	7340
1.9252082008765767	7242
1.9246808726238855	7103
1.92415383495302	7204
1.9236270876250148	7107
1.9231006304011642	6984
1.9225744630430261	6936
1.9220485853124167	6947
1.9215229969714163	6809
1.9209976977823642	6729
1.9204726875078602	6711
1.9199479659107632	6667
1.9194235327541933	6658
1.9188993878015272	6554
1.9183755308164017	6420
1.9178519615627132	6450
1.9173286798046143	6293
1.916805685306515	6302
1.916282977833085	6398
1.9157605571492489	6246
1.9152384230201875	6084
1.9147165752113409	6153
1.9141950134884016	6090
1.9136737376173207	5825
1.9131527473643017	5931
1.9126320424958052	5854
1.9121116227785455	5792
1.9115914879794911	5714
1.9110716378658632	5808
1.9105520722051397	5413
1.9100327907650483	5569
1.9095137933135711	5436
1.9089950796189419	5411
1.9084766494496488	5440
1.9079585025744286	5453
1.9074406387622711	5329
1.9069230577824183	5167
1.90640575940436	5110
1.9058887433978393	5155
1.9053720095328479	5222
1.9048555575796275	5165
1.9043393873086691	5048
1.9038234984907143	4977
1.90330789089675	4859
1.902792564298015	4831
1.9022775184659939	4945
1.9017627531724204	4828
1.9012482681892748	4771
1.9007340632887846	4648
1.9002201382434243	4817
1.899706492825914	4670
1.899193126809221	4680
1.8986800399665573	4552
1.8981672320713809	4617
1.8976547028973947	4489
1.8971424522185456	4427
1.8966304798090257	4420
1.8961187854432711	4269
1.8956073688959629	4321
1.8950962299420215	4223
1.8945853683566143	4162
1.8940747839151513	4208
1.8935644763932817	4129
1.8930544455669003	4237
1.8925446912121417	4116
1.892035213105383	4151
1.8915260110232417	4008
1.8910170847425753	4081
1.8905084340404839	3946
1.8900000586943062	3944
1.889491958481621	3832
1.8889841331802459	3936
1.8884765825682397	3937
1.8879693064238987	3785
1.8874623045257568	3799
1.8869555766525865	3747
1.886449122583401	3707
1.8859429420974465	3760
1.8854370349742102	3597
1.8849314009934148	3693
1.884426039935019	3718
1.8839209515792184	3527
1.8834161357064449	3649
1.8829115920973649	3488
1.8824073205328824	3572
1.8819033207941331	3521
1.8813995926624913	3440
1.8808961359195617	3358
1.8803929503471859	3331
1.8798900357274384	3358
1.879387391842628	3424
1.8788850184752941	3302
1.8783829154082121	3329
1.8778810824243868	3210
1.8773795193070593	3312
1.8768782258396974	3260
1.8763772018060048	3144
1.8758764469899147	3117
1.8753759611755922	3102
1.8748757441474302	3159
1.874375795690056	3189
1.8738761155883246	3047
1.8733767036273203	3072
1.8728775595923586	2950
1.872378683268983	2995
1.8718800744429656	2967
1.8713817329003075	2955
1.8708836584272388	2978
1.8703858508102151	3027
1.8698883098359225	2906
1.8693910352912724	2923
1.8688940269634047	2887
1.8683972846396839	2827
1.867900808107702	2774
1.8674045971552782	2844
1.8669086515704565	2779
1.8664129711415052	2787
1.86591755565692	2728
1.8654224049054193	2842
1.8649275186759491	2655
1.8644328967576758	2689
1.8639385389399936	2672
1.8634444450125174	2690
1.8629506147650874	2670
1.8624570479877656	2655
1.8619637444708372	2637
1.8614707040048115	2658
1.8609779263804178	2540
1.8604854113886078	2582
1.8599931588205556	2526
1.8595011684676559	2578
1.8590094401215254	2593
1.8585179735739998	2540
1.8580267686171377	2558
1.8575358250432161	2544
1.8570451426447321	2436
1.8565547212144025	2401
1.8560645605451636	2528
1.8555746604301704	2490
1.8550850206627976	2414
1.8545956410366362	2488
1.8541065213454979	2405
1.8536176613834108	2362
1.8531290609446196	2411
1.852640719823589	2390
1.8521526378149979	2435
1.8516648147137429	2302
1.8511772503149388	2291
1.8506899444139138	2258
1.8502028968062132	2250
1.8497161072875981	2264
1.8492295756540436	2174
1.8487433017017425	2222
1.8482572852270989	2217
1.8477715260267333	2119
1.8472860238974798	2147
1.8468007786363874	2205
1.8463157900407174	2215
1.8458310579079444	2221
1.8453465820357573	2204
1.8448623622220557	2125
1.844378398264954	2184
1.8438946899627766	2152
1.8434112371140621	2104
1.8429280395175582	2067
1.8424450969722252	2111
1.8419624092772355	2091
1.8414799762319707	2091
1.8409977976360237	2120
1.8405158732891955	2082
1.840034202991502	2050
1.8395527865431645	2046
1.8390716237446139	2120
1.8385907143964928	1919
1.8381100582996501	2080
1.8376296552551448	1988
1.8371495050642437	2028
1.8366696075284219	1983
1.8361899624493618	1962
1.8357105696289535	1910
1.8352314288692946	1967
