Wavelength	Intensity
2.1723707458902632	593
2.1716985340159471	579
2.1710267396919574	587
2.1703553625308345	591
2.1696844021455957	580
2.1690138581497349	579
2.1683437301572273	572
2.1676740177825238	585
2.1670047206405516	586
2.1663358383467122	594
2.1656673705168847	575
2.1649993167674184	578
2.16433167671514	578
2.1636644499773463	591
2.1629976361718066	573
2.1623312349167616	593
2.1616652458309216	568
2.160999668533468	579
2.1603345026440506	586
2.1596697477827864	581
2.159005403570263	582
2.1583414696275312	591
2.1576779455761095	591
2.1570148310379822	579
2.1563521256355984	582
2.1556898289918691	592
2.155027940730172	582
2.154366460474344	571
2.1537053878486865	582
2.1530447224779588	572
2.1523844639873859	596
2.1517246120026465	578
2.1510651661498827	576
2.1504061260556924	581
2.1497474913471319	590
2.1490892616517154	570
2.1484314365974124	580
2.1477740158126468	581
2.1471169989263	574
2.1464603855677038	586
2.1458041753666484	582
2.1451483679533716	577
2.1444929629585667	583
2.1438379600133772	586
2.143183358749396	588
2.142529158798669	578
2.1418753597936893	592
2.1412219613673975	570
2.1405689631531852	581
2.1399163647848893	585
2.1392641658967921	577
2.1386123661236245	574
2.1379609651005609	588
2.1373099624632208	574
2.1366593578476665	580
2.1360091508904056	576
2.1353593412283858	598
2.1347099284989981	582
2.1340609123400736	589
2.1334122923898851	587
2.1327640682871443	567
2.1321162396710029	574
2.1314688061810494	574
2.130821767457312	584
2.1301751231402544	592
2.1295288728707784	587
2.12888301629022	584
2.1282375530403521	574
2.1275924827633803	581
2.126947805101945	579
2.12630351969912	586
2.12565962619841	576
2.125016124243754	583
2.1243730134795209	592
2.12373029355051	579
2.12308796410195	600
2.1224460247795007	580
2.1218044752292493	588
2.1211633150977103	571
2.1205225440318256	568
2.1198821616789663	581
2.1192421676869282	577
2.1186025617039288	586
2.1179633433786158	584
2.1173245123600579	582
2.116686068297748	582
2.1160480108416024	590
2.1154103396419579	576
2.1147730543495751	584
2.1141361546156325	592
2.1134996400917325	568
2.1128635104298952	587
2.1122277652825594	577
2.1115924043025824	578
2.1109574271432407	578
2.1103228334582247	585
2.1096886229016452	587
2.109054795128027	585
2.1084213497923092	579
2.1077882865498472	576
2.10715560505641	592
2.1065233049681784	573
2.105891385941749	574
2.1052598476341275	568
2.1046286897027331	566
2.1039979118053935	579
2.1033675136003511	585
2.1027374947462536	587
2.1021078549021581	583
2.1014785937275358	581
2.1008497108822559	574
2.1002212060266041	570
2.0995930788212673	591
2.0989653289273407	586
2.0983379560063238	574
2.0977109597201218	579
2.097084339731043	587
2.0964580957017995	597
2.0958322272955079	592
2.0952067341756848	573
2.0945816160062511	578
2.0939568724515261	588
2.0933325031762329	579
2.0927085078454915	572
2.0920848861248222	586
2.0914616376801449	579
2.0908387621777789	587
2.0902162592844373	586
2.0895941286672337	583
2.0889723699936757	585
2.08835098293167	581
2.0877299671495138	590
2.0871093223159032	578
2.0864890480999265	591
2.0858691441710655	587
2.0852496101991944	590
2.084630445854581	592
2.0840116508078856	583
2.0833932247301559	591
2.0827751672928341	586
2.0821574781677503	579
