Wavelength	Intensity
2.1723707458902632	663
2.1716985340159471	667
2.1710267396919574	658
2.1703553625308345	663
2.1696844021455957	660
2.1690138581497349	665
2.1683437301572273	659
2.1676740177825238	668
2.1670047206405516	671
2.1663358383467122	682
2.1656673705168847	668
2.1649993167674184	666
2.16433167671514	656
2.1636644499773463	646
2.1629976361718066	647
2.1623312349167616	650
2.1616652458309216	648
2.160999668533468	654
2.1603345026440506	676
2.1596697477827864	667
2.159005403570263	658
2.1583414696275312	659
2.1576779455761095	662
2.1570148310379822	668
2.1563521256355984	670
2.1556898289918691	642
2.155027940730172	655
2.154366460474344	635
2.1537053878486865	648
2.1530447224779588	649
2.1523844639873859	662
2.1517246120026465	656
2.1510651661498827	668
2.1504061260556924	682
2.1497474913471319	666
2.1490892616517154	661
2.1484314365974124	672
2.1477740158126468	667
2.1471169989263	670
2.1464603855677038	659
2.1458041753666484	671
2.1451483679533716	654
2.1444929629585667	662
2.1438379600133772	631
2.143183358749396	650
2.142529158798669	651
2.1418753597936893	648
2.1412219613673975	660
2.1405689631531852	640
2.1399163647848893	645
2.1392641658967921	646
2.1386123661236245	661
2.1379609651005609	663
2.1373099624632208	656
2.1366593578476665	666
2.1360091508904056	651
2.1353593412283858	651
2.1347099284989981	668
2.1340609123400736	663
2.1334122923898851	640
2.1327640682871443	653
2.1321162396710029	652
2.1314688061810494	675
2.130821767457312	659
2.1301751231402544	675
2.1295288728707784	666
2.12888301629022	641
2.1282375530403521	665
2.1275924827633803	672
2.126947805101945	658
2.12630351969912	670
2.12565962619841	635
2.125016124243754	656
2.1243730134795209	646
2.12373029355051	663
2.12308796410195	660
2.1224460247795007	646
2.1218044752292493	660
2.1211633150977103	647
2.1205225440318256	658
2.1198821616789663	680
2.1192421676869282	679
2.1186025617039288	667
2.1179633433786158	657
2.1173245123600579	680
2.116686068297748	675
2.1160480108416024	667
2.1154103396419579	667
2.1147730543495751	666
2.1141361546156325	641
2.1134996400917325	677
2.1128635104298952	689
