Wavelength	Intensity
2.1723707458902632	723
2.1716985340159471	715
2.1710267396919574	677
2.1703553625308345	699
2.1696844021455957	686
2.1690138581497349	707
2.1683437301572273	706
2.1676740177825238	723
2.1670047206405516	710
2.1663358383467122	702
2.1656673705168847	704
2.1649993167674184	681
2.16433167671514	678
2.1636644499773463	710
2.1629976361718066	716
2.1623312349167616	719
2.1616652458309216	702
2.160999668533468	727
2.1603345026440506	730
2.1596697477827864	691
2.159005403570263	714
2.1583414696275312	699
2.1576779455761095	711
2.1570148310379822	700
2.1563521256355984	699
2.1556898289918691	694
2.155027940730172	675
2.154366460474344	697
2.1537053878486865	720
2.1530447224779588	701
2.1523844639873859	700
2.1517246120026465	710
2.1510651661498827	701
2.1504061260556924	691
2.1497474913471319	687
2.1490892616517154	686
2.1484314365974124	709
2.1477740158126468	739
2.1471169989263	710
2.1464603855677038	717
2.1458041753666484	712
2.1451483679533716	709
2.1444929629585667	677
2.1438379600133772	705
2.143183358749396	701
2.142529158798669	685
2.1418753597936893	676
2.1412219613673975	691
2.1405689631531852	684
2.1399163647848893	683
2.1392641658967921	669
2.1386123661236245	705
2.1379609651005609	686
2.1373099624632208	690
2.1366593578476665	704
2.1360091508904056	677
2.1353593412283858	689
2.1347099284989981	691
2.1340609123400736	683
2.1334122923898851	704
2.1327640682871443	695
2.1321162396710029	668
2.1314688061810494	666
2.130821767457312	700
2.1301751231402544	686
2.1295288728707784	675
2.12888301629022	690
2.1282375530403521	702
2.1275924827633803	680
2.126947805101945	711
2.12630351969912	676
2.12565962619841	687
2.125016124243754	697
2.1243730134795209	703
2.12373029355051	709
2.12308796410195	704
2.1224460247795007	716
2.1218044752292493	691
2.1211633150977103	690
2.1205225440318256	685
2.1198821616789663	703
2.1192421676869282	689
2.1186025617039288	705
2.1179633433786158	692
2.1173245123600579	748
2.116686068297748	687
2.1160480108416024	695
2.1154103396419579	743
2.1147730543495751	725
2.1141361546156325	721
2.1134996400917325	691
2.1128635104298952	702
2.1122277652825594	704
2.1115924043025824	691
2.1109574271432407	724
2.1103228334582247	712
2.1096886229016452	710
2.109054795128027	721
2.1084213497923092	695
2.1077882865498472	686
2.10715560505641	688
2.1065233049681784	728
2.105891385941749	704
2.1052598476341275	714
2.1046286897027331	701
2.1039979118053935	728
2.1033675136003511	702
2.1027374947462536	727
2.1021078549021581	732
2.1014785937275358	708
2.1008497108822559	706
2.1002212060266041	714
2.0995930788212673	746
2.0989653289273407	734
2.0983379560063238	736
2.0977109597201218	734
2.097084339731043	739
2.0964580957017995	732
2.0958322272955079	757
2.0952067341756848	729
2.0945816160062511	737
2.0939568724515261	745
2.0933325031762329	743
2.0927085078454915	743
2.0920848861248222	725
2.0914616376801449	735
2.0908387621777789	767
2.0902162592844373	745
2.0895941286672337	747
2.0889723699936757	776
2.08835098293167	776
2.0877299671495138	765
2.0871093223159032	734
2.0864890480999265	789
2.0858691441710655	743
2.0852496101991944	737
2.084630445854581	768
2.0840116508078856	782
2.0833932247301559	765
2.0827751672928341	754
2.0821574781677503	762
2.0815401570271246	794
2.0809232035435654	788
2.0803066173900708	776
2.0796903982400257	743
2.0790745457672006	780
2.0784590596457551	795
2.0778439395502342	860
2.0772291851555655	853
2.0766147961370658	829
2.076000772170433	833
2.0753871129317503	739
2.0747738180974822	748
2.0741608873444775	721
2.0735483203499667	674
2.0729361167915612	663
2.0723242763472536	678
2.0717127986954162	651
2.0711016835148026	666
2.0704909304845422	653
2.0698805392841479	666
2.0692705095935069	649
2.0686608410928851	650
2.0680515334629241	638
2.0674425863846451	671
2.0668339995394414	663
2.0662257726090849	685
2.0656179052757193	656
2.0650103972218643	646
2.0644032481304126	672
2.0637964576846293	688
2.0631900255681539	666
2.0625839514649957	694
2.0619782350595379	677
2.0613728760365317	691
2.0607678740811015	690
2.0601632288787384	708
2.0595589401153065	667
2.0589550074770342	695
2.0583514306505228	697
2.0577482093227375	709
2.0571453431810123	721
2.0565428319130472	718
2.0559406752069092	743
2.0553388727510291	704
2.0547374242342036	747
2.0541363293455945	742
2.0535355877747268	738
2.0529351992114875	749
2.0523351633461289	736
2.0517354798692642	761
2.0511361484718691	766
2.0505371688452794	776
2.049938540681191	776
2.0493402636716631	785
2.0487423375091121	820
2.0481447618863142	839
2.0475475364964035	788
2.0469506610328723	830
2.0463541351895711	824
2.0457579586607082	848
2.0451621311408461	840
2.0445666523249062	833
2.0439715219081616	847
2.0433767395862446	855
2.0427823050551388	876
2.0421882180111828	889
2.041594478151068	910
2.0410010851718408	942
2.0404080387708983	946
2.0398153386459872	927
2.0392229844952112	960
2.03863097601702	973
2.0380393129102159	973
2.0374479948739497	1017
2.0368570216077226	1008
2.0362663928113842	1060
2.0356761081851324	1030
2.035086167429514	1074
2.03449657024542	1104
2.0339073163340911	1154
2.0333184053971141	1141
2.0327298371364209	1149
2.0321416112542883	1199
2.0315537274533373	1243
2.0309661854365371	1238
2.0303789849071952	1286
2.029792125568965	1274
2.0292056071258449	1314
2.028619429282172	1330
2.0280335917426262	1398
2.0274480942122297	1408
2.0268629363963444	1454
2.0262781180006733	1462
2.0256936387312603	1501
2.0251094982944857	1598
2.0245256963970713	1668
2.0239422327460761	1664
2.023359107048897	1623
2.0227763190132686	1800
2.0221938683472622	1832
2.0216117547592858	1817
2.0210299779580834	1896
2.0204485376527339	1970
2.0198674335526507	2003
2.0192866653675847	2080
2.0187062328076157	2182
2.0181261355831621	2279
2.0175463734049739	2265
2.01696694598413	2394
2.0163878530320467	2440
2.0158090942604687	2453
2.0152306693814728	2577
2.0146525781074667	2607
2.0140748201511873	2659
2.0134973952257029	2806
2.0129203030444089	2858
2.0123435433210317	2967
2.0117671157696231	3144
2.0111910201045675	3139
2.010615256040571	3195
2.0100398232926704	3234
2.009464721576228	3399
2.0088899506069313	3526
2.0083155101007941	3567
2.0077413997741553	3735
2.0071676193436776	3701
2.0065941685263491	3870
2.006021047039479	3958
2.0054482546007031	4032
2.0048757909279766	4118
2.00430365573958	4264
2.0037318487541129	4390
2.0031603696904985	4422
2.0025892182679788	4291
2.0020183942061176	4504
2.0014478972247987	4678
2.0008777270442244	4759
2.0003078833849166	4681
1.9997383659677157	4737
1.9991691745137807	4813
1.998600308744588	4917
1.9980317683819311	4985
1.9974635531479195	5017
1.9968956627649805	4987
1.9963280969558568	5128
1.9957608554436066	5103
1.9951939379516015	5175
1.9946273442035298	5196
1.9940610739233933	5173
1.9934951268355066	5064
1.9929295026644989	5147
1.9923642011353104	5193
1.9917992219731953	5056
1.9912345649037189	5051
1.9906702296527568	5177
1.9901062159464975	5198
1.9895425235114392	5007
1.9889791520743909	5033
1.9884161013624695	5057
1.9878533711031023	5042
1.987290961024025	5021
1.9867288708532835	5003
1.9861671003192285	5042
1.9856056491505198	4922
1.9850445170761257	4948
1.9844837038253171	4831
1.9839232091276757	4791
1.9833630327130858	4768
1.9828031743117378	4698
1.9822436336541274	4739
1.9816844104710545	4597
1.9811255044936229	4666
1.9805669154532395	4648
1.9800086430816162	4754
1.9794506871107658	4680
1.9788930472730031	4644
1.9783357233009466	4589
1.977778714927515	4463
1.9772220218859289	4613
1.9766656439097077	4467
1.9761095807326734	4426
1.9755538320889454	4405
1.9749983977129437	4309
1.9744432773393881	4308
1.9738884707032955	4315
1.9733339775399803	4473
1.9727797975850574	4303
1.9722259305744354	4398
1.9716723762443213	4276
1.9711191343312198	4239
1.9705662045719294	4293
1.9700135867035455	4200
1.9694612804634584	4267
1.9689092855893515	4287
1.9683576018192066	4171
1.9678062288912954	4292
1.9672551665441831	4310
1.9667044145167325	4229
1.9661539725480945	4143
1.9656038403777127	4225
1.9650540177453255	4181
1.9645045043909604	4204
1.9639553000549359	4279
1.9634064044778621	4116
1.9628578174006386	4304
1.9623095385644553	4230
1.9617615677107909	4126
1.9612139045814148	4194
1.9606665489183825	4227
1.9601195004640397	4100
1.9595727589610192	4255
1.9590263241522416	4224
1.9584801957809117	4205
1.9579343735905261	4216
1.9573888573248646	4176
1.9568436467279913	4199
1.9562987415442592	4191
1.9557541415183028	4155
1.9552098463950447	4192
1.9546658559196888	4063
1.954122169837724	4089
1.9535787878949225	4204
1.953035709837341	4262
1.9524929354113161	4158
1.9519504643634678	4203
1.9514082964406989	4074
1.9508664313901933	4174
1.9503248689594146	4081
1.9497836088961085	4150
1.9492426509483	4092
1.9487019948642956	4128
1.9481616403926794	4233
1.9476215872823164	4122
1.9470818352823478	4087
1.9465423841421965	4192
1.9460032336115605	4038
1.9454643834404164	4174
1.9449258333790187	4040
1.9443875831778978	4011
1.9438496325878614	4147
1.9433119813599913	4059
1.9427746292456471	4031
1.9422375759964634	4042
1.9417008213643483	3982
1.9411643651014865	4078
1.940628206960334	4051
1.9400923466936228	4116
1.9395567840543586	3942
1.9390215187958177	3999
1.9384865506715523	3990
1.9379518794353834	3879
1.9374175048414055	3961
1.9368834266439861	3857
1.9363496445977608	3850
1.9358161584576379	3903
1.9352829679787975	3908
1.9347500729166844	3846
1.9342174730270192	3999
1.9336851680657874	4086
1.9331531577892471	3980
1.9326214419539209	3841
1.9320900203166027	3789
1.9315588926343519	3770
1.931028058664497	3794
1.9304975181646331	3670
1.9299672708926217	3707
1.9294373166065903	3649
1.9289076550649333	3845
1.9283782860263101	3594
1.9278492092496455	3629
1.9273204244941278	3552
1.9267919315192121	3631
1.9262637300846173	3597
1.9257358199503234	3510
1.9252082008765767	3575
1.9246808726238855	3526
1.92415383495302	3531
1.9236270876250148	3565
1.9231006304011642	3466
1.9225744630430261	3541
1.9220485853124167	3459
1.9215229969714163	3451
1.9209976977823642	3411
1.9204726875078602	3395
1.9199479659107632	3353
1.9194235327541933	3323
1.9188993878015272	3346
1.9183755308164017	3342
1.9178519615627132	3383
1.9173286798046143	3305
1.916805685306515	3305
1.916282977833085	3172
1.9157605571492489	3296
1.9152384230201875	3239
1.9147165752113409	3207
1.9141950134884016	3129
1.9136737376173207	3286
1.9131527473643017	3142
1.9126320424958052	3121
1.9121116227785455	2995
1.9115914879794911	2986
1.9110716378658632	3017
1.9105520722051397	2979
1.9100327907650483	2962
1.9095137933135711	2962
1.9089950796189419	2843
1.9084766494496488	2896
1.9079585025744286	2901
1.9074406387622711	2892
1.9069230577824183	2806
1.90640575940436	2800
1.9058887433978393	2790
1.9053720095328479	2721
1.9048555575796275	2756
1.9043393873086691	2715
1.9038234984907143	2689
1.90330789089675	2694
1.902792564298015	2584
1.9022775184659939	2706
1.9017627531724204	2562
1.9012482681892748	2628
1.9007340632887846	2586
1.9002201382434243	2541
1.899706492825914	2596
1.899193126809221	2455
1.8986800399665573	2467
1.8981672320713809	2513
1.8976547028973947	2391
1.8971424522185456	2460
1.8966304798090257	2451
1.8961187854432711	2421
1.8956073688959629	2410
1.8950962299420215	2337
1.8945853683566143	2295
1.8940747839151513	2222
1.8935644763932817	2235
1.8930544455669003	2195
1.8925446912121417	2247
1.892035213105383	2264
1.8915260110232417	2208
1.8910170847425753	2125
1.8905084340404839	2184
1.8900000586943062	2060
1.889491958481621	2111
1.8889841331802459	2083
1.8884765825682397	2026
1.8879693064238987	2023
1.8874623045257568	2027
1.8869555766525865	2073
1.886449122583401	1985
1.8859429420974465	1937
1.8854370349742102	1970
1.8849314009934148	1923
1.884426039935019	1919
1.8839209515792184	1937
1.8834161357064449	1879
1.8829115920973649	1916
1.8824073205328824	1882
1.8819033207941331	1827
1.8813995926624913	1856
1.8808961359195617	1805
1.8803929503471859	1782
1.8798900357274384	1782
1.879387391842628	1794
1.8788850184752941	1764
1.8783829154082121	1802
1.8778810824243868	1716
1.8773795193070593	1731
1.8768782258396974	1739
1.8763772018060048	1691
1.8758764469899147	1714
1.8753759611755922	1721
1.8748757441474302	1641
1.874375795690056	1652
1.8738761155883246	1667
1.8733767036273203	1663
1.8728775595923586	1683
1.872378683268983	1679
1.8718800744429656	1604
1.8713817329003075	1533
1.8708836584272388	1609
1.8703858508102151	1572
1.8698883098359225	1503
1.8693910352912724	1536
1.8688940269634047	1509
1.8683972846396839	1509
1.867900808107702	1495
1.8674045971552782	1490
1.8669086515704565	1517
1.8664129711415052	1462
1.86591755565692	1506
1.8654224049054193	1442
1.8649275186759491	1488
1.8644328967576758	1437
1.8639385389399936	1427
1.8634444450125174	1436
1.8629506147650874	1465
1.8624570479877656	1394
1.8619637444708372	1395
1.8614707040048115	1443
1.8609779263804178	1362
1.8604854113886078	1391
1.8599931588205556	1373
1.8595011684676559	1380
1.8590094401215254	1405
1.8585179735739998	1322
1.8580267686171377	1357
1.8575358250432161	1334
1.8570451426447321	1357
1.8565547212144025	1348
1.8560645605451636	1304
1.8555746604301704	1416
1.8550850206627976	1320
1.8545956410366362	1367
1.8541065213454979	1315
1.8536176613834108	1304
1.8531290609446196	1299
1.852640719823589	1286
1.8521526378149979	1297
1.8516648147137429	1290
1.8511772503149388	1310
1.8506899444139138	1261
1.8502028968062132	1290
1.8497161072875981	1212
1.8492295756540436	1247
1.8487433017017425	1262
1.8482572852270989	1244
1.8477715260267333	1185
1.8472860238974798	1239
1.8468007786363874	1242
1.8463157900407174	1205
1.8458310579079444	1205
1.8453465820357573	1210
